guidance_title,source_pdf
Open Letter to All Louisiana FFLs - Lifetime Permit,https://www.atf.gov/firearms/docs/open-letter/louisiana-jun2021-open-letter-lifetime-permit/download
Federal Firearms Licensee (FFL) Newsletter - June 2021,https://www.atf.gov/firearms/docs/newsletter/federal-firearms-licensee-ffl-newsletter-june-2021
Confronting COVID-19-Related Harassment in Schools,https://www.justice.gov/crt/page/file/1392041/download
Safety and Security for FFLs,https://www.atf.gov/file/58656/download
Open Letter to All South Dakota Federal Firearms Licensees ,https://www.atf.gov/firearms/docs/open-letter/south-dakota-march-2021-open-letter-regular-concealed-carry-permit-nics/download
Q&As: Industry Replacement of Tommy Built Tactical Model T36 Receiver,https://www.atf.gov/resource-center/docs/guide/tommybuiltt362021-03-15pdf/download
Guidance Regarding Department of Justice Grants and Executive Order 13798,https://justice.gov/file/1298191/download
Can I use a PO Box as my Registered Location,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-050)(EO-DEA206)_QA_Can_I_use_a_PO_Box_(Final).pdf
Prescriptions by e-mail,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-049)(EO-DEA094)_QA_Prescriptions_by_e-mail_(Final).pdf
Best Practices Guide,https://www.atf.gov/firearms/federal-firearms-licensee-quick-reference-and-best-practices-guide
QA Double Blind Study,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-048)(EO-DEA170)_QA_222_Blind_Study_Procedures_(Final).pdf
Pharmacist Manual,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-046)(EO-DEA154)_Pharmacist_Manual.pdf
QA Black Bag Exception,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-047)(EO-DEA212)_QA_re_Black_Bag_Exception_(Final).pdf
Underground Storage (Presentation),https://www.atf.gov/explosives/docs/guide/underground-storage-presentation-sept-18-2020/download
Fireworks (Presentation),https://www.atf.gov/explosives/docs/guide/fireworks-presentation-sept-2020/download
Employee Possessor (Presentation),https://www.atf.gov/explosives/docs/guide/employee-possessor-presentation-sept-18-2020/download
QA Pharmacy Delivery of Buprenorphine Prescription under SUPPORT Act,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-045)(EO-DEA220)_QA_Pharmacy_Del_buprenorphine_Products_under_SUPPORT_(Final)_9-28-20.pdf
Type 3 Magazines (Presentation),https://www.atf.gov/explosives/docs/guide/type-3-magazines-presentation-sept-10-2020/download
Institute of Makers of Explosives Safety Analysis for Risk (IMESAFR) (Presentation),https://www.atf.gov/explosives/docs/guide/institute-makers-explosives-safety-analysis-risk-imesafr-presentation/download
General Variance Requests (Presentation),https://www.atf.gov/explosives/docs/guide/general-variance-requests-presentation-sept-10-2020/download
Federal Explosives Licensing Center (FELC) (Presentation),https://www.atf.gov/explosives/docs/guide/federal-explosives-licensing-center-felc-presentation-sept-2020/download
ATF Procedure 2020-1- Recordkeeping procedure for non-over-the-counter firearm sales by licensees to unlicensed in-state residents that are NICS exempt,https://www.atf.gov/file/148156/download
ATF Procedure 2020-2- Recordkeeping and Background Check Procedure for Facilitation of Private Party Firearms Transfers (Supersedes ATF Procedure 2017-1),https://www.atf.gov/rules-and-regulations/docs/ruling/atf-proc-2020-2-%E2%80%93-recordkeeping-and-background-check-procedure/download
Advisory on the Application of Federal Laws to the Acquisition and Use of Technology to Detect and Mitigate Unmanned Aircraft Systems,https://www.justice.gov/file/1304841/download
COVID-19 QAAdministering CS in vehicle during COVID-19,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-043)(EO-DEA213)_QA_Administering_CS_in_vehicles_during_COVID-19_(Final).pdf
QA Telemedicine - DEA Registration in other states,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-044)(EO-DEA192)_Telemed_State_Reg_QA_(Final).pdf
"Civil Unrest QA, Bulk Destruction",https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-042)(EO-DEA210)_QA_Civil_Unrest_Bulk_Destruction_(Final).pdf
Civil Unrest Q&A RE Transfer of Prescriptions,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-041)(EO-DEA207)_QA_Civil_Unrest_Transfer_of_CII_Prescription_(Final).pdf
A Resource Guide to the U.S. Foreign Corrupt Practices Act ,https://www.justice.gov/criminal-fraud/file/1292051/download
Civil Unrest Q&A Destruction of Damaged C/S,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-040)(EO-DEA162)_Civil_Unrest_QA_Pharmacy_destruction_options_(Final)_6-12-2020.pdf
Civil Unrest QA Pharmacy Prescription Transfer,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-038)(EO-DEA164)_Civil_Unrest_QA_Pharmacy_prescription_transfer(Final).pdf
Civil Unrest Q&A Pharmacy Closure (Pharmacy),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-039)(EO-DEA166)Civil_Unrest_QA_pharmacy_closure_(Final).pdf
Civil Unrest Q&A Offsite Dosing Option,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-036)(EO-DEA-163)Civil_Unrest_QA_Offsite_dosing_options_(NTP)_Final_6-9-2020.pdf
Civil Unrest Q&A: Moving of Controlled Substances (Practitioners),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-037)_(EO-DEA155)_Civil_Unrest_QA_Moving_of_CS_(Practitioners).pdf
Civil Unrest Q&A Pharmacy move CS without Address Change,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-034)(EO-DEA161)_Civil_Unrest_QA_Pharmacy_move_CS_no_Address_Change_(Final)_6-7-2020.pdf
Civil Unrest Q&A Suspicious Order Reporting,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-035)(EO-DEA159)Civil_Unrest_QA_Suspicious_Order_Reporting.pdf
Civil Unrest Q&A Theft and Loss,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-033)(EO-DEA157)_Civil_Unrest_QA_Theft_and_Loss.pdf
Civil Unrest Q&A Registration of New Building at Same Address (Pharmacy),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-031)(Final)_Civil_Unrest_QA_Registration_of_New_Building_at_Same_Address_(Pharmacy)(EO-DEA156)Clean6-4-2020_1229.pdf
Guidance on the Scope of Agency under the Foreign Agents Registration Act (FARA),/nsd-fara/page/file/1279836/download
COVID-19 Office Site Delivery Buprenorphine,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-030)(DEA087)_off_site_otp_delivery_buprenorphine_(esign).pdf
COVID-19 Exception (5% Rule),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-029)(DEA085)_DEA_5_percent_practitioner_exception_(final).pdf
COVID-19 OTP Signed Delivery Exception to Regs,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-027)(DEA083)_DEA_Dist_MNF_narcotics_shipments_to_OTP_signed_delivery_exception_(final).pdf
Industry Letter: Business Premises Guidance for FFLs,https://www.atf.gov/firearms/docs/open-letter/atf-business-premises-guidance-letter-4-10-2020/download
COVID-19 H.D.A. Question and Responses,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-032)(EO-DEA077)_Distributor_QA_(final)(4102020-1645).pdf
COVID-19 Off-Site OTP Delivery Method,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-025)(DEA078)_Off-site_OTP_delivery_method_(Final)+_esign.pdf
COVID-19 QA EPCS Hospitals & Remote ID Proofing,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-026)(DEA080)COVID-19_EPCS_hospital_remote_ID_proofing.pdf
COVID-19 SAMHSA Telemedicine (Phone),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-022)(DEA068)%20DEA%20SAMHSA%20buprenorphine%20telemedicine%20%20(Final)%20+Esign.pdf
COVID-19 Prescription Chart,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-023)(DEA075)Decision_Tree_(Final)_33120_2007.pdf
COVID-19 Emergency CII Call In Exception,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-021)(DEA073)%20Oral%20CII%20for%20regular%20CII%20scirpt%20(Final)%20+Esign%20a.pdf
COVID-19 DEA Form 222 Fulfilment During Cornavirus,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-019)(DEA066)%20fax%20scan%20222%20(final)%20Esign.pdf
COVID-19 65% Bulk Manufacture Exception,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-020)(DEA074)%20COVID-19%20DEA%20bulk%20mnf%20quota%20%20(final)%20+esign%20a.pdf
COVID -19 DEA Reprocitity Separate Registration in Each State,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-018)(DEA067)%20DEA%20state%20reciprocity%20(final)(Signed).pdf
COVID-19 Q&A Mail Methadone,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-024)(DEA070)_QA_Mail_Methadone_(final).pdf
COVID-19 Early Prescription Refills,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-017)(DEA065)%20Early%20RX%20Refill%20-%20OMB%203-20-20%202200%20DAA%20approved.pdf
COVID-19 National Health Emergency and Telemedicine,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-016)%20CoronaVirus%20(Telemedicine)%20Updated.pdf
COVID-19 NTP Deliveries/Exception,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-015)%20SAMHSA%20Exemption%20NTP%20Deliveries%20(CoronaVirus).pdf
Michigan-Mar2020-Public Advisory-Michigan’s Concealed Pistol Licenses (CPLs) No Longer Qualify as Alternative to NICS Check,https://www.atf.gov/firearms/docs/open-letter/public-advisory-all-michigan-ffls-03-03-20/download
Match Requirement for STOP Formula Grants,https://www.justice.gov/sites/default/files/ovw/legacy/2014/02/06/stop-match-requirement-for-formula-grants.pdf
Financial and Housing Rights of Servicemembers ,https://www.justice.gov/servicemembers/financial-and-housing-rights
Employment Rights of Servicemembers,https://www.justice.gov/servicemembers/employment
SCRA Overview,https://www.justice.gov/servicemembers/servicemembers-civil-relief-act-scra
Uniformed Services Employment and Reemployment Rights Act of 1994 (USERRA),https://www.justice.gov/servicemembers/uniformed-services-employment-and-reemployment-rights-act-1994-userra
Voting Rights of Servicemembers,https://www.justice.gov/servicemembers/voting
The Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA),https://www.justice.gov/servicemembers/uniformed-and-overseas-citizens-absentee-voting-act-uocava
Explosives Industry Newsletter- December 2019,https://www.atf.gov/file/141816/download
FY 2020 Solicitation Companion Guide: OVW Grant Programs & Post-Award Information,https://www.justice.gov/ovw/page/file/1217366/download
2019 SVPP Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/svpp/FY19_SVPP_AOM.pdf
Minnesota-Oct2019-NICS Background Check Prior to Firearms Transfer to NonLicensee with Valid Minnesota Permit to Carry,https://www.atf.gov/file/141161/download
Guide to the Servicemembers Civil Relief Act,https://www.justice.gov/servicemembers/page/file/1245331/download
Federal Firearms Licensees Newsletter - October 2019,https://www.atf.gov/file/141151/download
Data Archiving Policy,https://nij.ojp.gov/funding/research-development-and-evaluation-grant-award-requirements
Research and Evaluation Integrity and Independence (REII) Statement,https://nij.ojp.gov/funding/research-development-and-evaluation-grant-award-requirements
Frequently Asked Questions (FAQs),https://www.justice.gov/crt/frequently-asked-questions-faqs
Federal Firearms Licensees Newsletter - October 2019,https://www.atf.gov/file/141151/download
2019 TRGP Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/ctas/FY19_AOM.pdf
2019 CPD Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/cpd/AOM.pdf
2019 CAMP Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/camp/AOM.pdf
2019 AHTF Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/ahtf/AOM.pdf
2019 PASS Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/pass/AOM.pdf
2019 LEMHWA Award Owner's Manual,https://cops.usdoj.gov/pdf/2019AwardDocs/lemhwa/AOM.pdf
5576.06 Oleoresin Capsicum (OC) Aerosol Spray,https://www.bop.gov/policy/progstat/5576.06.pdf
5100.08 CN-1 Inmate Security Designation and Custody Classification,https://www.bop.gov/policy/progstat/5100_008cn.pdf
Request for Reallocation of Byrne JAG Grant Funds,https://www.smart.gov/pdfs/2019-reallocation-form.pdf
5325.07 CN-1 Release Preparation Program,https://www.bop.gov/policy/progstat/5325_007_CN-1.pdf
Alabama-July2019-Public Safety Advisory-Alabama Federal firearms licensees transferring firearms,https://www.atf.gov/file/137671/download
NIJ Human Subjects and Privacy Protection,https://www.nij.gov/funding/humansubjects/pages/human-subjects.aspx
Program Income Policy - Specific to the CEBR Program,https://nij.ojp.gov/sites/g/files/xyckuh171/files/media/document/nij-dna-program-income-policy.pdf
Credit Counseling FAQs,https://www.justice.gov/ust/frequently-asked-questions-faqs-credit-counseling
Debtor Education FAQs,https://www.justice.gov/ust/frequently-asked-questions-faqs-debtor-education
IER v. EEOC Comparison Flyer,https://www.justice.gov/crt/case-document/file/1165241/download
5216.06 Juvenile Delinquents,https://www.bop.gov/policy/progstat/5216_006.pdf
5140.42 Transfer of Offenders To or From Foreign Countries,https://www.bop.gov/policy/progstat/5140_042_cn-1.pdf
Types of Discrimination,https://www.justice.gov/crt/types-discrimination
Best Practices for Recruiting and Hiring Workers,https://www.justice.gov/crt/best-practices-recruiting-and-hiring-workers
DOJ Grants Financial Guide,https://www.justice.gov/ovw/page/file/1228061/download
IER Information for Employers on How to Avoid Discrimination in E-Verify,https://www.justice.gov/crt/page/file/1132616/download
Identifying Possible E-Verify-Related Employment Discrimination,https://www.justice.gov/crt/case-document/file/1132551/download
Form I-9 and E-Verify Resources,https://www.justice.gov/crt/form-i-9-and-e-verify
5050.50 Compassionate Release/Reduction in Sentence,https://www.bop.gov/policy/progstat/5050_050_EN.pdf
OJP Grant Application Resource Guide,https://www.ojp.gov/microsite-subpage/ojp-grant-application-resource-guide
Protecting Your Right to Work,https://www.justice.gov/crt/case-document/file/1132571/download
Information for Employers on Temporary Protected Status (TPS) and Deferred Enforced Departure (DED),https://www.justice.gov/crt/page/file/1132621/download
Understanding the INA's Anti-Discrimination Provision,https://www.justice.gov/crt/page/file/1132636/download
Worker Protections Against Discrimination in the E-Verify Process,https://www.justice.gov/crt/case-document/file/1132556/download
Unlawful Employment Discrimination Based on Citizenship and National Origin,https://www.justice.gov/crt/page/file/1132631/download
Refugees and Asylees Have the Right to Work Information for Employers,https://www.justice.gov/crt/page/file/1132626/download
Employment Rights and Resources for Refugees and Asylees,https://www.justice.gov/crt/case-document/file/1132566/download
"Information for Employers Hiring Citizens of the Federated States of Micronesia, the Republic of the Marshall Islands, and the Republic of Palau",https://www.justice.gov/crt/page/file/1132611/download
IER Know Your Rights Poster (English),https://www.justice.gov/crt/case-document/file/1133936/download
IER Know Your Rights Poster (Spanish),https://www.justice.gov/crt/case-document/file/1133941/download
How Employers Can Avoid Discrimination in the Form I-9 and E-Verify Processes,https://www.justice.gov/crt/page/file/1132606/download
DCL Withdrawing DOJ’s and ED’s Guidance on Nondiscriminatory Discipline,https://www2.ed.gov/about/offices/list/ocr/letters/colleague-201812.pdf
Q&As: Bump Stocks,https://www.atf.gov/qa-category/bump-stocks
Transitional Housing: Models and Rent Structures,https://www.justice.gov/ovw/page/file/1118951/download
Information for Refugees and Asylees About the Form I-9 (English),https://www.justice.gov/crt/page/file/1119566/download
Information for Refugees and Asylees About the Form I-9 (Amharic) ,https://www.justice.gov/crt/page/file/1119511/download
Information for Refugees and Asylees About the Form I-9 (Arabic),https://www.justice.gov/crt/page/file/1119516/download
Information for Refugees and Asylees About the Form I-9 (Armenian),https://www.justice.gov/crt/case-document/file/1120731/download
Information for Refugees and Asylees About the Form I-9 (Burmese),https://www.justice.gov/crt/page/file/1119521/download
Information for Refugees and Asylees About the Form I-9 (Farsi),https://www.justice.gov/crt/page/file/1119556/download
Information for Refugees and Asylees About the Form I-9 (French),https://www.justice.gov/crt/case-document/file/1120691/download
