publication_title,publication_date,source_pdf,source_url
"Syphilis, Congenital: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232504/cdc_232504_DS1.pdf,https://stacks.cdc.gov/view/cdc/232504
"Rubella, congenital syndrome: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232505/cdc_232505_DS1.pdf,https://stacks.cdc.gov/view/cdc/232505
"Salmonella Typhi infection: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232591/cdc_232591_DS1.pdf,https://stacks.cdc.gov/view/cdc/232591
"Malaria: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232365/cdc_232365_DS1.pdf,https://stacks.cdc.gov/view/cdc/232365
"Rubella: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232492/cdc_232492_DS1.pdf,https://stacks.cdc.gov/view/cdc/232492
"Rabies, Human: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232393/cdc_232393_DS1.pdf,https://stacks.cdc.gov/view/cdc/232393
"Psittacosis: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232392/cdc_232392_DS1.pdf,https://stacks.cdc.gov/view/cdc/232392
"Meningococcal disease, Unknown serogroup: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232370/cdc_232370_DS1.pdf,https://stacks.cdc.gov/view/cdc/232370
"Mumps: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232371/cdc_232371_DS1.pdf,https://stacks.cdc.gov/view/cdc/232371
"Meningococcal disease, All serogroups: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232366/cdc_232366_DS1.pdf,https://stacks.cdc.gov/view/cdc/232366
"Measles, Indigenous: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232396/cdc_232396_DS1.pdf,https://stacks.cdc.gov/view/cdc/232396
"Meningococcal disease, Serogroup B: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232368/cdc_232368_DS1.pdf,https://stacks.cdc.gov/view/cdc/232368
"Meningococcal disease, Other serogroups: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232369/cdc_232369_DS1.pdf,https://stacks.cdc.gov/view/cdc/232369
"Mpox: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232443/cdc_232443_DS1.pdf,https://stacks.cdc.gov/view/cdc/232443
"Meningococcal disease, Serogroups ACWY: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232367/cdc_232367_DS1.pdf,https://stacks.cdc.gov/view/cdc/232367
"Melioidosis: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232423/cdc_232423_DS1.pdf,https://stacks.cdc.gov/view/cdc/232423
"Measles, Imported: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232397/cdc_232397_DS1.pdf,https://stacks.cdc.gov/view/cdc/232397
"Influenza-associated pediatric mortality: (Week 37) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 13, 2025",09/13/2025,https://stacks.cdc.gov/view/cdc/232414/cdc_232414_DS1.pdf,https://stacks.cdc.gov/view/cdc/232414
"Invasive pneumococcal disease, age <5 years, Probable: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232157/cdc_232157_DS1.pdf,https://stacks.cdc.gov/view/cdc/232157
"Invasive pneumococcal disease, all ages, Confirmed: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232154/cdc_232154_DS1.pdf,https://stacks.cdc.gov/view/cdc/232154
"Legionellosis: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232097/cdc_232097_DS1.pdf,https://stacks.cdc.gov/view/cdc/232097
"Leptospirosis: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232090/cdc_232090_DS1.pdf,https://stacks.cdc.gov/view/cdc/232090
"Novel Influenza A virus infections, Total: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232117/cdc_232117_DS1.pdf,https://stacks.cdc.gov/view/cdc/232117
"Poliomyelitis, paralytic: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232092/cdc_232092_DS1.pdf,https://stacks.cdc.gov/view/cdc/232092
"Pertussis: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232074/cdc_232074_DS1.pdf,https://stacks.cdc.gov/view/cdc/232074
"Novel Influenza A virus infections, Confirmed: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232118/cdc_232118_DS1.pdf,https://stacks.cdc.gov/view/cdc/232118
"Poliovirus infection, nonparalytic: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232091/cdc_232091_DS1.pdf,https://stacks.cdc.gov/view/cdc/232091
"Novel Influenza A virus infections, Probable: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232119/cdc_232119_DS1.pdf,https://stacks.cdc.gov/view/cdc/232119
"Plague: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232093/cdc_232093_DS1.pdf,https://stacks.cdc.gov/view/cdc/232093
"Arboviral diseases, West Nile virus disease: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232168/cdc_232168_DS1.pdf,https://stacks.cdc.gov/view/cdc/232168
"Campylobacteriosis: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232115/cdc_232115_DS1.pdf,https://stacks.cdc.gov/view/cdc/232115
"Hepatitis B, perinatal, Confirmed: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232065/cdc_232065_DS1.pdf,https://stacks.cdc.gov/view/cdc/232065
"Hepatitis B, chronic, Confirmed: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232178/cdc_232178_DS1.pdf,https://stacks.cdc.gov/view/cdc/232178
"Hepatitis A, Confirmed: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232066/cdc_232066_DS1.pdf,https://stacks.cdc.gov/view/cdc/232066
"Hepatitis B, acute, Probable: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232177/cdc_232177_DS1.pdf,https://stacks.cdc.gov/view/cdc/232177
"Hantavirus infection, non-hantavirus pulmonary syndrome: (Week 36) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 6, 2025",09/06/2025,https://stacks.cdc.gov/view/cdc/232127/cdc_232127_DS1.pdf,https://stacks.cdc.gov/view/cdc/232127
"Hepatitis B, acute, Confirmed: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232054/cdc_232054_DS1.pdf,https://stacks.cdc.gov/view/cdc/232054
"Hantavirus pulmonary syndrome: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232004/cdc_232004_DS1.pdf,https://stacks.cdc.gov/view/cdc/232004
"Hepatitis C, acute, Confirmed: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232030/cdc_232030_DS1.pdf,https://stacks.cdc.gov/view/cdc/232030
"Hepatitis C, perinatal, Confirmed: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232040/cdc_232040_DS1.pdf,https://stacks.cdc.gov/view/cdc/232040
"Hepatitis C, chronic, Confirmed: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232038/cdc_232038_DS1.pdf,https://stacks.cdc.gov/view/cdc/232038
"Hemolytic uremic syndrome post-diarrheal: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231998/cdc_231998_DS1.pdf,https://stacks.cdc.gov/view/cdc/231998
"Hepatitis B, chronic, Probable: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232057/cdc_232057_DS1.pdf,https://stacks.cdc.gov/view/cdc/232057
"Haemophilus influenzae, invasive disease, All ages, all serotypes: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231983/cdc_231983_DS1.pdf,https://stacks.cdc.gov/view/cdc/231983
"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231987/cdc_231987_DS1.pdf,https://stacks.cdc.gov/view/cdc/231987
"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231986/cdc_231986_DS1.pdf,https://stacks.cdc.gov/view/cdc/231986
"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231984/cdc_231984_DS1.pdf,https://stacks.cdc.gov/view/cdc/231984
"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231985/cdc_231985_DS1.pdf,https://stacks.cdc.gov/view/cdc/231985
"Giardiasis: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232000/cdc_232000_DS1.pdf,https://stacks.cdc.gov/view/cdc/232000
"Chlamydia trachomatis infection: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231962/cdc_231962_DS1.pdf,https://stacks.cdc.gov/view/cdc/231962
"Gonorrhea: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/231963/cdc_231963_DS1.pdf,https://stacks.cdc.gov/view/cdc/231963
"Dengue virus infections, Severe dengue: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232021/cdc_232021_DS1.pdf,https://stacks.cdc.gov/view/cdc/232021
"Cryptosporidiosis: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231699/cdc_231699_DS1.pdf,https://stacks.cdc.gov/view/cdc/231699
"Carbapenemase-Producing Organisms (CPO), Total: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231750/cdc_231750_DS1.pdf,https://stacks.cdc.gov/view/cdc/231750
"Cronobacter invasive infection, infants, Probable: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231725/cdc_231725_DS1.pdf,https://stacks.cdc.gov/view/cdc/231725
"Dengue virus infections, Dengue-like illness: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231717/cdc_231717_DS1.pdf,https://stacks.cdc.gov/view/cdc/231717
"Chancroid: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231658/cdc_231658_DS1.pdf,https://stacks.cdc.gov/view/cdc/231658
"Coccidioidomycosis, Probable: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231723/cdc_231723_DS1.pdf,https://stacks.cdc.gov/view/cdc/231723
"Cronobacter invasive infection, infants, Confirmed: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231724/cdc_231724_DS1.pdf,https://stacks.cdc.gov/view/cdc/231724
"Candida auris, screening: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231746/cdc_231746_DS1.pdf,https://stacks.cdc.gov/view/cdc/231746
"Coccidioidomycosis, Total: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231721/cdc_231721_DS1.pdf,https://stacks.cdc.gov/view/cdc/231721
"Candida auris, clinical: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231745/cdc_231745_DS1.pdf,https://stacks.cdc.gov/view/cdc/231745
"Coccidioidomycosis, Confirmed: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231722/cdc_231722_DS1.pdf,https://stacks.cdc.gov/view/cdc/231722
"Cyclosporiasis: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231698/cdc_231698_DS1.pdf,https://stacks.cdc.gov/view/cdc/231698
"Brucellosis: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231637/cdc_231637_DS1.pdf,https://stacks.cdc.gov/view/cdc/231637
"Botulism, Other (wound & unspecified): (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231678/cdc_231678_DS1.pdf,https://stacks.cdc.gov/view/cdc/231678
"Botulism, Foodborne: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231676/cdc_231676_DS1.pdf,https://stacks.cdc.gov/view/cdc/231676
"Arboviral diseases, Western equine encephalitis virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231744/cdc_231744_DS1.pdf,https://stacks.cdc.gov/view/cdc/231744
"Arboviral diseases, West Nile virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231743/cdc_231743_DS1.pdf,https://stacks.cdc.gov/view/cdc/231743
"Arboviral diseases, Jamestown Canyon virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231739/cdc_231739_DS1.pdf,https://stacks.cdc.gov/view/cdc/231739
"Arboviral diseases, Powassan virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231741/cdc_231741_DS1.pdf,https://stacks.cdc.gov/view/cdc/231741
"Arboviral diseases, La Crosse virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231740/cdc_231740_DS1.pdf,https://stacks.cdc.gov/view/cdc/231740
"Anthrax: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231636/cdc_231636_DS1.pdf,https://stacks.cdc.gov/view/cdc/231636
"Arboviral diseases, Eastern equine encephalitis virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231738/cdc_231738_DS1.pdf,https://stacks.cdc.gov/view/cdc/231738
"Arboviral diseases, St. Louis encephalitis virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231742/cdc_231742_DS1.pdf,https://stacks.cdc.gov/view/cdc/231742
"Viral hemorrhagic fevers, Machupo virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232009/cdc_232009_DS1.pdf,https://stacks.cdc.gov/view/cdc/232009
"Arboviral diseases, Chikungunya virus disease: (Week 34) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 23, 2025",08/23/2025,https://stacks.cdc.gov/view/cdc/231639/cdc_231639_DS1.pdf,https://stacks.cdc.gov/view/cdc/231639
"Viral hemorrhagic fevers, Ebola virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232006/cdc_232006_DS1.pdf,https://stacks.cdc.gov/view/cdc/232006
"Viral hemorrhagic fevers, Guanarito virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232015/cdc_232015_DS1.pdf,https://stacks.cdc.gov/view/cdc/232015
"Viral hemorrhagic fevers, Rift Valley fever virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232013/cdc_232013_DS1.pdf,https://stacks.cdc.gov/view/cdc/232013
"Vancomycin-resistant Staphylococcus aureus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232018/cdc_232018_DS1.pdf,https://stacks.cdc.gov/view/cdc/232018
"Viral hemorrhagic fevers, Junin virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232010/cdc_232010_DS1.pdf,https://stacks.cdc.gov/view/cdc/232010
"Viral hemorrhagic fevers, Lujo virus: (Week 35) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending August 30, 2025",08/30/2025,https://stacks.cdc.gov/view/cdc/232014/cdc_232014_DS1.pdf,https://stacks.cdc.gov/view/cdc/232014
