legislative_bill,source_url,sponsor,commitee,latest_action
H.R.5802,https://www.congress.gov/bill/119th-congress/house-bill/5802?s=3&r=34,"Larson, John B. [Rep.-D-CT-1]",House - Appropriations; Oversight and Government Reform; House Administration,"House - 10/21/2025 Referred to the Committee on Appropriations, and in addition to the Committees on Oversight and Government Reform, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ("
H.R.5801,https://www.congress.gov/bill/119th-congress/house-bill/5801?s=3&r=35,"Johnson, Dusty [Rep.-R-SD-At Large]",House - Appropriations,House - 10/21/2025 Referred to the House Committee on Appropriations. (
H.R.5800,https://www.congress.gov/bill/119th-congress/house-bill/5800?s=3&r=36,"Harrigan, Pat [Rep.-R-NC-10]",House - Transportation and Infrastructure,House - 10/21/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5799,https://www.congress.gov/bill/119th-congress/house-bill/5799?s=3&r=37,"Garcia, Robert [Rep.-D-CA-42]",House - Oversight and Government Reform,House - 10/21/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5798,https://www.congress.gov/bill/119th-congress/house-bill/5798?s=3&r=38,"Flood, Mike [Rep.-R-NE-1]",House - Financial Services,House - 10/21/2025 Referred to the House Committee on Financial Services. (
H.R.5797,https://www.congress.gov/bill/119th-congress/house-bill/5797?s=3&r=39,"Fitzpatrick, Brian K. [Rep.-R-PA-1]",House - Foreign Affairs,House - 10/21/2025 Referred to the House Committee on Foreign Affairs. (
H.R.5796,https://www.congress.gov/bill/119th-congress/house-bill/5796?s=3&r=40,"Costa, Jim [Rep.-D-CA-21]",House - Transportation and Infrastructure; Financial Services,"House - 10/21/2025 Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ("
H.R.5795,https://www.congress.gov/bill/119th-congress/house-bill/5795?s=3&r=41,"Biggs, Andy [Rep.-R-AZ-5]",House - Judiciary,House - 10/21/2025 Referred to the House Committee on the Judiciary. (
H.R.5794,https://www.congress.gov/bill/119th-congress/house-bill/5794?s=3&r=42,"Bell, Wesley [Rep.-D-MO-1]",House - Transportation and Infrastructure,House - 10/21/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5793,https://www.congress.gov/bill/119th-congress/house-bill/5793?s=3&r=43,"Wilson, Joe [Rep.-R-SC-2]",House - Foreign Affairs; Armed Services,"House - 10/17/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. ("
H.R.5792,https://www.congress.gov/bill/119th-congress/house-bill/5792?s=3&r=44,"Wilson, Frederica S. [Rep.-D-FL-24]",House - Oversight and Government Reform; House Administration,"House - 10/17/2025 Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ("
H.R.5791,https://www.congress.gov/bill/119th-congress/house-bill/5791?s=3&r=45,"Wied, Tony [Rep.-R-WI-8]",House - Energy and Commerce,House - 10/17/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5790,https://www.congress.gov/bill/119th-congress/house-bill/5790?s=3&r=46,"Waters, Maxine [Rep.-D-CA-43]",House - Education and Workforce,House - 10/17/2025 Referred to the House Committee on Education and Workforce. (
H.R.5789,https://www.congress.gov/bill/119th-congress/house-bill/5789?s=3&r=47,"Van Orden, Derrick [Rep.-R-WI-3]",House - Financial Services,House - 10/17/2025 Referred to the House Committee on Financial Services. (
H.R.5788,https://www.congress.gov/bill/119th-congress/house-bill/5788?s=3&r=48,"Tran, Derek [Rep.-D-CA-45]",House - Small Business,House - 10/17/2025 Referred to the House Committee on Small Business. (
H.R.5787,https://www.congress.gov/bill/119th-congress/house-bill/5787?s=3&r=49,"Takano, Mark [Rep.-D-CA-39]",House - Transportation and Infrastructure,House - 10/17/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5786,https://www.congress.gov/bill/119th-congress/house-bill/5786?s=3&r=50,"Takano, Mark [Rep.-D-CA-39]",House - Oversight and Government Reform; Natural Resources,"House - 10/17/2025 Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ("
H.R.5785,https://www.congress.gov/bill/119th-congress/house-bill/5785?s=3&r=51,"Smith, Adam [Rep.-D-WA-9]",House - Natural Resources,House - 10/17/2025 Referred to the House Committee on Natural Resources. (
H.R.5784,https://www.congress.gov/bill/119th-congress/house-bill/5784?s=3&r=52,"Scholten, Hillary J. [Rep.-D-MI-3]",House - Small Business,House - 10/17/2025 Referred to the House Committee on Small Business. (
H.R.5783,https://www.congress.gov/bill/119th-congress/house-bill/5783?s=3&r=53,"Pou, Nellie [Rep.-D-NJ-9]",House - Transportation and Infrastructure,House - 10/17/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5782,https://www.congress.gov/bill/119th-congress/house-bill/5782?s=3&r=54,"Neguse, Joe [Rep.-D-CO-2]","House - Natural Resources; Agriculture; Transportation and Infrastructure; Science, Space, and Technology; Armed Services","House - 10/17/2025 Referred to the Committee on Natural Resources, and in addition to the Committees on Agriculture, Armed Services, Transportation and Infrastructure, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for... ("
H.R.5781,https://www.congress.gov/bill/119th-congress/house-bill/5781?s=3&r=55,"Neguse, Joe [Rep.-D-CO-2]",House - Agriculture,House - 10/17/2025 Referred to the House Committee on Agriculture. (
H.R.5780,https://www.congress.gov/bill/119th-congress/house-bill/5780?s=3&r=56,"Moskowitz, Jared [Rep.-D-FL-23]",House - Transportation and Infrastructure,House - 10/17/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5779,https://www.congress.gov/bill/119th-congress/house-bill/5779?s=3&r=57,"Miller, Max L. [Rep.-R-OH-7]",House - Education and Workforce,House - 10/17/2025 Referred to the House Committee on Education and Workforce. (
H.R.5778,https://www.congress.gov/bill/119th-congress/house-bill/5778?s=3&r=58,"McIver, LaMonica [Rep.-D-NJ-10]",House - Small Business,House - 10/17/2025 Referred to the House Committee on Small Business. (
H.R.5777,https://www.congress.gov/bill/119th-congress/house-bill/5777?s=3&r=59,"McClain Delaney, April [Rep.-D-MD-6]","House - Science, Space, and Technology","House - 10/17/2025 Referred to the House Committee on Science, Space, and Technology. ("
H.R.5776,https://www.congress.gov/bill/119th-congress/house-bill/5776?s=3&r=60,"Malliotakis, Nicole [Rep.-R-NY-11]",House - Ways and Means,House - 10/17/2025 Referred to the House Committee on Ways and Means. (
H.R.5775,https://www.congress.gov/bill/119th-congress/house-bill/5775?s=3&r=61,"Loudermilk, Barry [Rep.-R-GA-11]",House - Financial Services; Judiciary,"House - 10/17/2025 Referred to the Committee on Financial Services, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
H.R.5774,https://www.congress.gov/bill/119th-congress/house-bill/5774?s=3&r=62,"Leger Fernandez, Teresa [Rep.-D-NM-3]",House - Education and Workforce,House - 10/17/2025 Referred to the House Committee on Education and Workforce. (
H.R.5773,https://www.congress.gov/bill/119th-congress/house-bill/5773?s=3&r=63,"Krishnamoorthi, Raja [Rep.-D-IL-8]",House - Oversight and Government Reform,House - 10/17/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5772,https://www.congress.gov/bill/119th-congress/house-bill/5772?s=3&r=64,"Kean, Thomas H. [Rep.-R-NJ-7]",House - Judiciary,House - 10/17/2025 Referred to the House Committee on the Judiciary. (
H.R.5771,https://www.congress.gov/bill/119th-congress/house-bill/5771?s=3&r=65,"Johnson, Julie [Rep.-D-TX-32]",House - Ways and Means,House - 10/17/2025 Referred to the House Committee on Ways and Means. (
H.R.5770,https://www.congress.gov/bill/119th-congress/house-bill/5770?s=3&r=66,"Houlahan, Chrissy [Rep.-D-PA-6]",House - Armed Services,House - 10/17/2025 Referred to the House Committee on Armed Services. (
H.R.5769,https://www.congress.gov/bill/119th-congress/house-bill/5769?s=3&r=67,"Houchin, Erin [Rep.-R-IN-9]",House - Education and Workforce,House - 10/17/2025 Referred to the House Committee on Education and Workforce. (
H.R.5768,https://www.congress.gov/bill/119th-congress/house-bill/5768?s=3&r=68,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",House - Energy and Commerce; Ways and Means,"House - 10/17/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
H.R.5767,https://www.congress.gov/bill/119th-congress/house-bill/5767?s=3&r=69,"Barr, Andy [Rep.-R-KY-6]",House - Transportation and Infrastructure,House - 10/17/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5766,https://www.congress.gov/bill/119th-congress/house-bill/5766?s=3&r=70,"Barr, Andy [Rep.-R-KY-6]",House - Foreign Affairs,House - 10/17/2025 Referred to the House Committee on Foreign Affairs. (
H.R.5765,https://www.congress.gov/bill/119th-congress/house-bill/5765?s=3&r=71,"Balderson, Troy [Rep.-R-OH-12]",House - Energy and Commerce,House - 10/17/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5764,https://www.congress.gov/bill/119th-congress/house-bill/5764?s=3&r=72,"Alford, Mark [Rep.-R-MO-4]",House - Small Business,House - 10/17/2025 Referred to the House Committee on Small Business. (
H.R.5763,https://www.congress.gov/bill/119th-congress/house-bill/5763?s=3&r=73,"Williams, Roger [Rep.-R-TX-25]",House - Small Business,House - 10/14/2025 Referred to the House Committee on Small Business. (
H.R.5762,https://www.congress.gov/bill/119th-congress/house-bill/5762?s=3&r=74,"Tonko, Paul [Rep.-D-NY-20]",House - Natural Resources,House - 10/14/2025 Referred to the House Committee on Natural Resources. (
H.R.5761,https://www.congress.gov/bill/119th-congress/house-bill/5761?s=3&r=75,"Sykes, Emilia Strong [Rep.-D-OH-13]",House - Education and Workforce,House - 10/14/2025 Referred to the House Committee on Education and Workforce. (
H.R.5760,https://www.congress.gov/bill/119th-congress/house-bill/5760?s=3&r=76,"Stefanik, Elise M. [Rep.-R-NY-21]",House - Financial Services; Foreign Affairs; Energy and Commerce,"House - 10/14/2025 Referred to the Committee on Financial Services, and in addition to the Committees on Foreign Affairs, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ("
H.R.5759,https://www.congress.gov/bill/119th-congress/house-bill/5759?s=3&r=77,"Stefanik, Elise M. [Rep.-R-NY-21]",House - Education and Workforce,House - 10/14/2025 Referred to the House Committee on Education and Workforce. (
H.R.5758,https://www.congress.gov/bill/119th-congress/house-bill/5758?s=3&r=78,"Self, Keith [Rep.-R-TX-3]",House - Veterans' Affairs,House - 10/14/2025 Referred to the House Committee on Veterans' Affairs. (
H.R.5757,https://www.congress.gov/bill/119th-congress/house-bill/5757?s=3&r=79,"Ruiz, Raul [Rep.-D-CA-25]",House - Appropriations,House - 10/14/2025 Referred to the House Committee on Appropriations. (
H.R.5756,https://www.congress.gov/bill/119th-congress/house-bill/5756?s=3&r=80,"Ruiz, Raul [Rep.-D-CA-25]",House - Appropriations,House - 10/14/2025 Referred to the House Committee on Appropriations. (
H.R.5755,https://www.congress.gov/bill/119th-congress/house-bill/5755?s=3&r=81,"Peters, Scott H. [Rep.-D-CA-50]",House - House Administration,House - 10/14/2025 Referred to the House Committee on House Administration. (
H.R.5754,https://www.congress.gov/bill/119th-congress/house-bill/5754?s=3&r=82,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",House - Oversight and Government Reform,House - 10/14/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5753,https://www.congress.gov/bill/119th-congress/house-bill/5753?s=3&r=83,"McGovern, James P. [Rep.-D-MA-2]",House - Education and Workforce,House - 10/14/2025 Referred to the House Committee on Education and Workforce. (
H.R.5752,https://www.congress.gov/bill/119th-congress/house-bill/5752?s=3&r=84,"Kennedy, Mike [Rep.-R-UT-3]",House - Natural Resources,House - 10/14/2025 Referred to the House Committee on Natural Resources. (
H.R.5751,https://www.congress.gov/bill/119th-congress/house-bill/5751?s=3&r=85,"Harder, Josh [Rep.-D-CA-9]",House - Energy and Commerce,House - 10/14/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5750,https://www.congress.gov/bill/119th-congress/house-bill/5750?s=3&r=86,"Gill, Brandon [Rep.-R-TX-26]",House - Oversight and Government Reform,House - 10/14/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5749,https://www.congress.gov/bill/119th-congress/house-bill/5749?s=3&r=87,"Foxx, Virginia [Rep.-R-NC-5]",House - Oversight and Government Reform,House - 10/14/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5748,https://www.congress.gov/bill/119th-congress/house-bill/5748?s=3&r=88,"Downing, Troy [Rep.-R-MT-2]",House - Education and Workforce; Financial Services,"House - 10/14/2025 Referred to the Committee on Education and Workforce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ("
H.R.5747,https://www.congress.gov/bill/119th-congress/house-bill/5747?s=3&r=89,"Costa, Jim [Rep.-D-CA-21]",House - Energy and Commerce,House - 10/14/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5746,https://www.congress.gov/bill/119th-congress/house-bill/5746?s=3&r=90,"Ezell, Mike [Rep.-R-MS-4]",House - Natural Resources; Education and Workforce,"House - 10/14/2025 Referred to the Committee on Natural Resources, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ("
H.R.5745,https://www.congress.gov/bill/119th-congress/house-bill/5745?s=3&r=91,"Ezell, Mike [Rep.-R-MS-4]",House - Natural Resources,House - 10/14/2025 Referred to the House Committee on Natural Resources. (
H.R.5744,https://www.congress.gov/bill/119th-congress/house-bill/5744?s=3&r=92,"Vindman, Eugene Simon [Rep.-D-VA-7]",House - Energy and Commerce; Judiciary,"House - 10/10/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
H.R.5743,https://www.congress.gov/bill/119th-congress/house-bill/5743?s=3&r=93,"Van Duyne, Beth [Rep.-R-TX-24]",House - Oversight and Government Reform,House - 10/10/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5742,https://www.congress.gov/bill/119th-congress/house-bill/5742?s=3&r=94,"Van Drew, Jefferson [Rep.-R-NJ-2]",House - Appropriations,House - 10/10/2025 Referred to the House Committee on Appropriations. (
H.R.5741,https://www.congress.gov/bill/119th-congress/house-bill/5741?s=3&r=95,"Torres, Ritchie [Rep.-D-NY-15]",House - Financial Services,House - 10/10/2025 Referred to the House Committee on Financial Services. (
H.R.5740,https://www.congress.gov/bill/119th-congress/house-bill/5740?s=3&r=96,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",House - Education and Workforce,House - 10/10/2025 Referred to the House Committee on Education and Workforce. (
H.R.5739,https://www.congress.gov/bill/119th-congress/house-bill/5739?s=3&r=97,"Rulli, Michael A. [Rep.-R-OH-6]",House - Oversight and Government Reform,House - 10/10/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5738,https://www.congress.gov/bill/119th-congress/house-bill/5738?s=3&r=98,"Moore, Tim [Rep.-R-NC-14]",House - House Administration,House - 10/10/2025 Referred to the House Committee on House Administration. (
H.R.5737,https://www.congress.gov/bill/119th-congress/house-bill/5737?s=3&r=99,"Harshbarger, Diana [Rep.-R-TN-1]",House - Energy and Commerce; Ways and Means,"House - 10/10/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
H.R.5736,https://www.congress.gov/bill/119th-congress/house-bill/5736?s=3&r=100,"Griffith, H. Morgan [Rep.-R-VA-9]",House - Energy and Commerce; Ways and Means,"House - 10/10/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
